brand_code_uc,brand_descr,week_end,revenue
609623,OFF!,9/15/2018,1609179.5
609623,OFF!,9/22/2018,1846151.82
609623,OFF!,9/29/2018,1259167.48
609623,OFF!,10/6/2018,1401944.77
609623,OFF!,10/13/2018,1063021.29
609623,OFF!,10/20/2018,621228.33
609623,OFF!,10/27/2018,509815.88
609623,OFF!,11/3/2018,521080.65
609623,OFF!,11/10/2018,348184.85
609623,OFF!,11/17/2018,189628.55
609623,OFF!,11/24/2018,156435.33
609623,OFF!,12/1/2018,135268.89
609623,OFF!,12/8/2018,126151.7
609623,OFF!,12/15/2018,129273.69
609623,OFF!,12/22/2018,171326.7
609623,OFF!,12/29/2018,162408.21
612630,OXO SOFTWORKS,1/6/2018,1147512.8
612630,OXO SOFTWORKS,1/13/2018,1126069.24
612630,OXO SOFTWORKS,1/20/2018,1139271.51
612630,OXO SOFTWORKS,1/27/2018,1010498.03
612630,OXO SOFTWORKS,2/3/2018,1047471.46
612630,OXO SOFTWORKS,2/10/2018,961549.06
612630,OXO SOFTWORKS,2/17/2018,1029229.09
612630,OXO SOFTWORKS,2/24/2018,1011387.56
612630,OXO SOFTWORKS,3/3/2018,1022800.48
612630,OXO SOFTWORKS,3/10/2018,1086876.3
612630,OXO SOFTWORKS,3/17/2018,949225.97
612630,OXO SOFTWORKS,3/24/2018,957127.58
612630,OXO SOFTWORKS,3/31/2018,1051831.1
612630,OXO SOFTWORKS,4/7/2018,843574.54
612630,OXO SOFTWORKS,4/14/2018,899997.25
612630,OXO SOFTWORKS,4/21/2018,872858.96
612630,OXO SOFTWORKS,4/28/2018,836495.3
612630,OXO SOFTWORKS,5/5/2018,863231.41
612630,OXO SOFTWORKS,5/12/2018,930478.62
612630,OXO SOFTWORKS,5/19/2018,897397.31
612630,OXO SOFTWORKS,5/26/2018,909365.14
612630,OXO SOFTWORKS,6/2/2018,981805.89
612630,OXO SOFTWORKS,6/9/2018,972692.39
612630,OXO SOFTWORKS,6/16/2018,997823.73
612630,OXO SOFTWORKS,6/23/2018,948535.75
612630,OXO SOFTWORKS,6/30/2018,973256.43
612630,OXO SOFTWORKS,7/7/2018,1003377.73
612630,OXO SOFTWORKS,7/14/2018,1098225.32
612630,OXO SOFTWORKS,7/21/2018,1096440.27
612630,OXO SOFTWORKS,7/28/2018,1070666.48
612630,OXO SOFTWORKS,8/4/2018,1076180.99
612630,OXO SOFTWORKS,8/11/2018,1116187.07
612630,OXO SOFTWORKS,8/18/2018,1250946.72
612630,OXO SOFTWORKS,8/25/2018,1260313.24
612630,OXO SOFTWORKS,9/1/2018,1179156.11
612630,OXO SOFTWORKS,9/8/2018,1248794.39
612630,OXO SOFTWORKS,9/15/2018,1124330.35
612630,OXO SOFTWORKS,9/22/2018,1048042.25
612630,OXO SOFTWORKS,9/29/2018,1039240.63
612630,OXO SOFTWORKS,10/6/2018,1048902.69
612630,OXO SOFTWORKS,10/13/2018,1050450.06
612630,OXO SOFTWORKS,10/20/2018,1029018.06
612630,OXO SOFTWORKS,10/27/2018,1005386.24
612630,OXO SOFTWORKS,11/3/2018,1037997.33
612630,OXO SOFTWORKS,11/10/2018,1079309.46
612630,OXO SOFTWORKS,11/17/2018,1164934.9
612630,OXO SOFTWORKS,11/24/2018,1672671
612630,OXO SOFTWORKS,12/1/2018,1105335.21
612630,OXO SOFTWORKS,12/8/2018,1278247.35
612630,OXO SOFTWORKS,12/15/2018,1444305.55
612630,OXO SOFTWORKS,12/22/2018,2104838.76
612630,OXO SOFTWORKS,12/29/2018,1677624.24
613954,PAPER MATE,1/6/2018,1368434.99
613954,PAPER MATE,1/13/2018,1844308.48
613954,PAPER MATE,1/20/2018,1583477.62
613954,PAPER MATE,1/27/2018,1526268.14
613954,PAPER MATE,2/3/2018,1475123.3
613954,PAPER MATE,2/10/2018,1394550.77
613954,PAPER MATE,2/17/2018,1514526.33
613954,PAPER MATE,2/24/2018,1283492.43
613954,PAPER MATE,3/3/2018,1406674.54
613954,PAPER MATE,3/10/2018,1307433.06
613954,PAPER MATE,3/17/2018,1219171.84
613954,PAPER MATE,3/24/2018,1194087.45
613954,PAPER MATE,3/31/2018,1321090.42
613954,PAPER MATE,4/7/2018,1021002.45
613954,PAPER MATE,4/14/2018,1123438.21
613954,PAPER MATE,4/21/2018,1110870.93
